Date,Headline,Content,Close
2023-01-16,,,2444.10009765625
2023-01-17,"Sensex surges 563 points led by Reliance, HDFC twins; Nifty tops 18,000","From the Sensex pack, L&T was the top gainer, rising over 3.5%. HUL, HCL Tech, HDFC Bank, HDFC, Reliance, UltraTech Cement and TCS also closed with gains. Defying mostly negative global cues, benchmark equity indices closed in the green on Tuesday led by heavy buying in index majors Reliance Industries, HDFC twins and IT stocks. The BSE Sensex index ended 563 points or 0.94% higher at 60,656, while Nifty50 rose 158 points or 0.89% to settle at 18,053",2478.800048828125
2023-01-18,Reliance Capital administrator proposes auction on Jan 23,"At the heart of the dispute is a bid from the Hinduja Group entity given 24 hours after the auction deadline (December 21), trumping the offer made within the stipulated time by Torrent Investments. While Torrent has offered an upfront payment of Rs 8640 crore, Hinduja offered Rs 8950 crore, including Rs 8110 crore as an upfront payment. However, both offers are below liquidation value. The administrator of Reliance Capital Wednesday told the Mumbai bench of the National Company Law Tribunal (NCLT) that the auction for the sale of the financial services company will be scheduled on Monday, January 23, as the tribunal is yet to conclude a hearing regarding the matter.",2474.699951171875
2023-01-19,,,2472.050048828125
2023-01-20,"Reliance Jio Q3 Results: Standalone PAT rises 28% YoY to Rs 4,638 cr, revenue up 19%","Sequentially, the profit rose nearly 3% while revenue declined 13.3%. The telecom major saw network operating expenses rise by nearly 16% YoY to Rs 7,227 crore. Reliance Industries Ltd’s subsidiary Reliance Jio Infocomm’s standalone net profit rose 28.3 per cent year-on-year ( YoY) to Rs 4,638 crore. Total revenue of the company increased nearly 19% YoY to Rs 22,998 crore. The revenue was lower than ET Now poll of Rs 23,362 crore. Sequentially, the profit rose nearly 3% while revenue declined 13.3%. The telecom major saw network operating expenses rise by nearly 16% YoY to Rs 7,227 crore.",2442.64990234375
2023-01-23,"Reliance Jio, Retail IPOs unlikely this year: JP Morgan","RIL is currently in a mini-capex cycle across petrochem, telecom (Jio) and new energy businesses, bringing the focus back on the company's capex and rising debt. ""While RIL does not give a capex guidance, we expect overall spending levels to moderate as spectrum acquisition is behind us and large immediate spending in the new energy business is unlikely,"" the brokerage said.",2430.300048828125
2023-01-24,"Sensex, Nifty end flat due to losses in Reliance & banking stocks","From the Sensex pack, Tata Motors and Maruti were the top gainers, rising over 3%. HCL Tech, HDFC Bank, HDFC, Asian paints, IndusInd Bank and TCS also closed with gains Positive global cues failed to impress investors in India as equity indices closed flat on Tuesday. Gains in auto and IT stocks were offset by the losses in index heavyweight Reliance and banking stocks. The BSE Sensex index ended 37 points or 0.06% higher at 60,979, while Nifty50 closed at 18,118. From the Sensex pack, Tata Motors and Maruti were the top gainers, rising over 3%. HCL Tech, HDFC Bank, HDFC, Asian paints, IndusInd Bank and TCS also closed with gains",2415.949951171875
2023-01-25,Creditors move NCLAT against verdict to stay Reliance Capital auction,"The committee of creditors (CoC) approached the appellate tribunal after the Mumbai bench of the National Company Law Tribunal (NCLT) stayed the second challenge mechanism for the sale of Reliance Capital. ET has seen a copy of the CoC's petition. Mumbai: The secured lenders of Reliance Capital moved the National Company Law Appellate Tribunal (NCLAT), seeking to vacate a bankruptcy court order for maintaining status quo on the company's insolvency proceeding",2382.550048828125
2023-01-27,"Reliance Jio, Bharti Airtel gain subscribers in November 2022 at Vi's expense: TRAI data","Vi lost a whopping 1.82 million mobile users in November, further shrinking its user base to 243.79 million. By contrast, Jio and Airtel user bases expanded to 422.80 million and 366.08 million respectively, latest subscriber data collated by the Telecom Regulatory Authority of India (Trai) showed.",2337.35009765625
2023-01-30,"Budget 2023: India imports thousands of electronic components, denting Modi government’s self-reliance push","India cannot become a global electronic manufacturing hub unless the basic issues are addressed. ‘The biggest disadvantage’ is the absence of a full-fledged component ecosystem. India is moving at a rapid pace to become a global leader in electronics manufacturing. However, this goal is not achievable until there is a synchronised ecosystem in place. Industry experts say the country lacks on this front.",2359.75
2023-01-31,"India's Reliance stops local petcoke sales, boosts imports","With Reliance's petcoke no longer available domestically, India's imports are likely to rise, after doubling last year because of higher demand from cement makers, who use the petcoke to manufacture the building material. Reliance was the country's biggest domestic supplier until 2021. Reliance Industries has stopped selling petroleum coke within India and boosted imports of the product to turn it into synthetic gas to power its refineries, according to two sources familiar with the matter and trade data. Petroleum coke is a carbon intensive solid residue left over from coking units in oil refineries that break down residual oil into more highly valued products. Petcoke, as it is known, can be used as a coal substitute in both steelmaking and in power plants.",2353.85009765625
2023-02-01,"Buy Reliance Industries, target price Rs 2378: ICICI Direct","Reliance Industries, incorporated in the year 1973, is a Large Cap company (having a market cap of Rs 1592613.50 Crore) operating in Diversified sector. ICICI Direct has buy call on Reliance Industries with a target price of Rs 2378. The current market price of Reliance Industries is Rs 2366.7. Time period given by analyst is Intra Day when Reliance Industries price can reach defined target. ICICI Direct recommended to keep stop loss at Rs 2334. Reliance Industries, incorporated in the year 1973, is a Large Cap company (having a market cap of Rs 1592613.50 Crore) operating in Diversified sector",2339.89990234375
2023-02-02,Reliance Retail begins accepting govt's digital rupee for sales,Reliance Retail launched the first in-store acceptance of the RBI-created and Blockchain-based Central Bank Digital Currency (CBDC) at its gourmet food store Freshpik here. The CBDC is the a digital version of fiat money that will co-exist will hard cash. Reliance Retail on Thursday announced it has begun accepting retail payments via the Indian government's Digital Rupee across its stores in the country.,2326.949951171875
2023-02-03,"Benaras Mediaworks, T-Series strike overseas distribution deal with Reliance Entertainment","Filmmaker Anubhav Sinha's banner Benaras Mediaworks and Bhushan Kumar-led TSeries have inked a deal with Reliance Entertainment for the distribution of their slate of upcoming titles, including Hansal Mehta-directed ""Faraaz"" and Sudhir Mishra's ""Afwaah"", in the overseas market. Filmmaker Anubhav Sinha's banner Benaras Mediaworks and Bhushan Kumar-led T-Series have inked a deal with Reliance Entertainment for the distribution of their slate of upcoming titles, including Hansal Mehta-directed ""Faraaz"" and Sudhir Mishra's ""Afwaah"", in the overseas market. ""Faraaz"", which was released in theatres on Friday, is the first project to be distributed by Reliance Entertainment, a press release stated.",2329.0
2023-02-06,Reliance Jio offers free OTT subscription on select postpaid recharge plans. Check details,"Reliance Jio is offering free OTT subscription of Netflix and Amazon Prime on select postpaid recharge plans. Reliance Jio, recently revealed its free OTT subscription offers with select postpaid recharge plans. The free OTT subscription will allow users to watch unlimited OTT content on Netflix and Amazon Prime on the 5G network without extra charges. The OTT subscription will include additional benefits of Jio Prime too. These OTT subscription offers are available on the Jio Postpaid plans which are Jio Rs 399, Jio Rs 599, Jio Rs 799, Jio Rs 999 and Jio Rs 1499. All these postpaid recharge plans provide unlimited voice calls and 100 SMS/day.",2311.449951171875
2023-02-07,,,2305.89990234375
2023-02-08,"Reliance, BPCL among buyers using UAE currency for Russian oil","Buyers have shifted some transactions to the currency, according to people with direct knowledge of the matter. Payments vary from cargo to cargo, depending in part on the demands of specific traders, said the people, who requested anonymity as the details are private. Reliance Industries Ltd., Bharat Petroleum Corp Ltd. and Nayara Energy Ltd. are among Indian refiners using United Arab Emirates dirham to pay for some shipments of Russian crude as they navigate Western sanctions.",2351.949951171875
2023-02-09,,,2356.050048828125
2023-02-10,"UP investor summit: Reliance to invest Rs 75,000 cr in UP in 4 years, Mukesh Ambani says","Billionaire Mukesh Ambani on Friday announced Rs 75,000 crore investment over the next four years in expanding the telecom network, including roll out of 5G services, retail and new energy business in Uttar Pradesh. Speaking at the UP Investor Summit, he said his group's telecom arm Jio will roll out 5G services across the state by December 2023. Billionaire Mukesh Ambani on Friday announced Rs 75,000 crore investment over the next four years in expanding the telecom network, including roll out of 5G services, retail and new energy business in Uttar Pradesh. Speaking at the UP Investor Summit, he said his group's telecom arm Jio will roll out 5G services across the state by December 2023.",2336.64990234375
2023-02-13,"Reliance seeks $12.75 for CBM gas, ONGC wants $9.35","Reliance is seeking a minimum USD 12.75 per million British thermal unit for coal bed methane (CBM) from a block in Shahdol district of Madhya Pradesh, while ONGC wants USD 9.35 for the same kind of fuel from North Karanpura in Jharkhand, according to tender documents. Billionaire Mukesh Ambani's Reliance Industries Ltd and state-owned Oil and Natural Gas Corporation (ONGC) are separately auctioning natural gas extracted from coal seams at prices linked to Brent crude oil price. Reliance is seeking a minimum USD 12.75 per million British thermal unit for coal bed methane (CBM) from a block in Shahdol district of Madhya Pradesh, while ONGC wants USD 9.35 for the same kind of fuel from North Karanpura in Jharkhand, according to tender documents.",2323.35009765625
2023-02-14,Jammu and Kashmir govt approves Rs 329-crore project to achieve self reliance in mutton sector,"""In view of huge mutton usage in Jammu and Kashmir, especially in the Kashmiri cuisine and in order to reduce meat import, the government has approved an ambitious Rs 329 crore project for next five years to achieve self reliance in mutton sector"", Additional Chief Secretary, Agriculture Production Department (APD), Atal Dulloo said. In a bid to boost production and reduce import costs, the Jammu and Kashmir government has approved a Rs 329 crore project for the next five years to achieve self reliance in mutton sector. The project is aimed at creating 6,000 jobs besides setting up of 122 enterprises in the mutton sector in the Union Territory.",2378.10009765625
2023-02-15,"Buy Reliance Industries, target price Rs 2398: ICICI Direct","Falling channel breakout and price rebounding after taking support at previous low signalling resumption of up move. ICICI Direct has buy call on Reliance Industries with a target price of Rs 2398.The current market price of Reliance Industries is Rs 2409.1. ICICI Direct recommended to keep stop loss at Rs 2354. Reliance Industries, incorporated in the year 1973, is a Large Cap company (having a market cap of Rs 1624988.78 Crore) operating in Diversified sector.",2431.949951171875
2023-02-16,"Buy Reliance Industries, target price Rs 2585: Axis Securities","Strong rebound from one-year major support zoneof 2,300, daily and weekly RSI bullish. Axis Securities has buy call on Reliance Industries with a target price of Rs 2585. The current market price of Reliance Industries is Rs 2457.85. Axis Securities recommended to keep stop loss at Rs 2370. Reliance Industries, incorporated in the year 1973, is a Large Cap company (having a market cap of Rs 1662540.05 Crore) operating in Diversified sector.",2430.050048828125
2023-02-17,RBI appoints Vikramaditya Singh Khichi in advisory panel of Reliance Capital,"The other two members of the advisory committee are Sanjeev Nautiyal (former DMD, State Bank of India) and Praveen P Kadle (former MD & CEO of Tata Capital Limited). ""The Advisory Committee shall advise the Administrator in the operations of Reliance Capital Ltd during the corporate insolvency resolution process,"" RBI said. The Reserve Bank of India (RBI) on Friday appointed Vikramaditya Singh Khichi, former ED of Bank of Baroda, on a panel to advise the administrator of crisis-ridden Anil Ambani-promoted Reliance Capital. Khichi has been appointed in the advisory committee of Reliance Capital consequent upon the resignation of Srinivasan Varadarajan from the panel, .",2440.199951171875
2023-02-20,,,2414.39990234375
2023-02-21,Reliance Jio rolls out 5G services in 20 more cities,"""We are proud to rollout Jio True 5G services in these 20 cities across 11 states/UTs. With this launch, Jio users across 277 cities can enjoy the transformational benefits of Jio True 5G in the new year 2023,"" a Jio spokesperson said. Reliance Jio has expanded its 5G services to 20 more cities across 11 states and Union Territories. With the launch, Jio 5G services are now available in 277 cities.",2434.10009765625
2023-02-22,,,2378.89990234375
2023-02-23,,,2367.5
2023-02-24,Reliance General Insurance says no new biz if capital not received soon,"The company communicated this to Nageswara Rao Y, the administrator of Reliance Capital and also disclosed this while declaring the results of the quarter ending December 2022. Mumbai: Reliance GeneralInsurance, one of the most valuable companies among the subsidiaries of Reliance Capital, has said that it would no longer be able to undertake any new business if it fails to receive new capital soon, said people aware of the matter.",2383.699951171875
2023-02-27,Reliance General Insurance Q3 results: PAT rises 23% YoY to Rs 59 cr,"During the April-December period, the company's gross written premium rose 13% yearon-year to Rs 8,208 crore as against Rs 7,294 crore in the corresponding period of previous year. Reliance Capital's arm Reliance General Insurance, reported a net profit of Rs 59 crore for the third quarter ended December, higher by 23%, compared with Rs 48 crore reported in the previous year period. During the April-December period, the company's gross written premium rose 13% year-on-year to Rs 8,208 crore as against Rs 7,294 crore in the corresponding period of previous year",2367.85009765625
2023-02-28,"Buy Reliance Industries, target price Rs 2445: ICICI Securities","Reliance Industries, incorporated in the year 1973, is a Large Cap company (having a market cap of Rs 1602085.89 Crore) operating in Diversified sectors. ICICI Securities has buy call on Reliance Industries with a target price of Rs 2445. The current market price of Reliance Industries is Rs 2356.2. ICICI Securities recommended to keep stop loss at Rs 2310. Reliance Industries, incorporated in the year 1973, is a Large Cap company (having a market cap of Rs 1602085.89 Crore) operating in Diversified sector.",2322.550048828125
2023-03-01,,,2343.89990234375
2023-03-02,"Reliance, Tata bid for India’s $2.4 billion solar incentives","Others showing interest include U.S. firm First Solar Inc. and Indian companies JSW Energy Ltd., Avaada Group and ReNew Energy Global Plc, according to people familiar with the matter, who asked not to be named as the information hasn’t been made public. The embattled Adani Group, one of the country’s largest solar panel makers, was not among the bidders, the people said. Solar module makers including Reliance Industries Ltd. and Tata Power Co. are among bidders for 195 billion rupees ($2.4 billion) in financial incentives that India is offering to expand domestic manufacturing and curb panel imports from dominant producer China.",2326.050048828125
2023-03-03,Many top professionals in Reliance are from Andhra Pradesh: Mukesh Ambani,Ambani was speaking at the two-day Andhra Pradesh Global Investment summit which is taking place at Andhra University grounds in Visakhapatnam. He also said that Reliance will continue will all its ongoing investments in Andhra and will also invest to build 10 GW of solar energy capacity in the state. Reliance Industries chairman Mukesh Ambani today said that Andhra Pradesh has strong entrepreneurial talent in pharma and infra and the state has produced some of the renowned scientists and doctors. He also said that some of the top professionals in Reliance from Andhra Pradesh. Ambani was speaking at the two-day Andhra Pradesh Global Investment summit which is taking place at Andhra University grounds in Visakhapatnam.,2385.39990234375
2023-03-06,Indian retail industry to reach $2 trillion by 2032: Reliance Retail Director Subramaniam V,"""The retail market is projected to grow at 10 per cent annually to reach a whopping 2 trillion by 2032 making it the fastest growing retail market of the world,"" Subramaniam said at an event organised by industry body FICCI here. New Delhi: The Indian retail market is one of the fastest growing in the world and is expected to reach USD 2 trillion by 2032, according to Reliance Retail Director Subramaniam V. The Indian retail market is estimated at USD 844 billion in 2022 with the unorganised retail market contributing around 87 per cent of the share, he said.",2408.699951171875
2023-03-08,"Positioning of insurance products as wealth protector emerging as a big thing: Rakesh Jain, Reliance GI","I think third party by the definition of it, third party liability is meant to protect people who are on the roads. So, the people who drive the vehicles they carry the onus of also indemnifying anybody if they were to hit on the road while driving the vehicles, that is why the law in this country makes this insurance mandatory ""We are not wanting people to really feel as if this is a penalty thing. It is more to say that your obligations can be conveniently done. And in any case, the data is being watched by the administrators,"" says Rakesh Jain, CEO, Reliance GeneralInsurance",2417.35009765625
2023-03-09,"Buy Reliance Industries, target price Rs 2439: ICICI Direct","Falling supply line breakout and price sustaining above 20 dayEMA, signaling further upward momentum in coming sessions ICICI Direct has buy call on Reliance Industries with a target price of Rs 2439. The current market price of Reliance Industries is Rs 2386.8. Time period given by analyst is Intra Day when Reliance Industries price can reach defined target. ICICI Direct recommended to keep stop loss at Rs 2390.7. Reliance Industries, incorporated in the year 1973, is a Large Cap company (having a market cap of Rs 1635577.56 Crore) operating in Diversified sector",2359.25
2023-03-10,,,2322.699951171875
2023-03-13,"Tata, Reliance most valued business groups","On September 16, 2022, Adani emerged as the most valuable industrial house, surpassing the Tatas after acquiring Ambuja Cements and ACC. However, on November 16, 2022, the Tata Group regained the top spot. While two of India’s biggest business houses, Tata and Reliance, have respectively lost 2% and 4% in market capitalisation since January 25, Adani lost over 51%.",2284.5
2023-03-14,CCI clears Reliance's $344 million buy of Metro's local business,"The deal, announced nearly three months ago, will help Reliance strengthen its wholesale format and cement its position as the biggest player in India's burgeoning retail industry with stores spanning electronics, groceries and fashion. India's competition regulator said on Tuesday that it has cleared Reliance Industries Ltd's 28.50 billion rupees ($346.16 million) acquisition of the Indian business of German retailer Metro AG. The deal, announced nearly three months ago, will help Reliance strengthen its wholesale format and cement its position as the biggest player in India's burgeoning retail industry with stores spanning electronics, groceries and fashion.",2275.949951171875
2023-03-15,"Stocks in news: Divgi TorqTransfer, Reliance Industries, Cipla, Star Health","NBCC has bagged an order from the Puducherry government for the construction of a medical college and hospital at Karaikal. The order value is at Rs 500 crore. The Nifty futures contract traded on the Singapore Exchange indicates a positive start to domestic equities. The contract was trading at 17,204, up 92.5 points or 0.54% from the previous close. Here's a slew of stocks that will be in focus today for various reasons",2237.050048828125
2023-03-16,Reliance Naval winner seeks more time to start payments,"As per the payment schedule approved by NCLT, the Swan Energy-Hazel Mercantile team had to pay ₹200 crore to lenders, ₹65 crore towards CIRP cost and ₹10 crore to trade creditors and employees. They needed to make this payment within 90 days from December 23, 2022, when NCLT approved their resolution plan. The consortium of Swan Energy and Hazel Mercantile - the winning bidders for Reliance Naval and Engineering - has sought a four-month extension from the bankruptcy court to pay lenders the first instalment of the consideration amount, said two people aware of the matter.",2225.89990234375
2023-03-17,Airtel comes up with unlimited 5G data offer to step up battle versus Reliance Jio,"Airtel in a stock exchange filing said it is removing the capping on data usage across all existing plans. This comes days after India's largest telecom operator Reliance Jio a new set of postpaid family and individual plans with unlimited 5G data, WiFi calling, OTT subscription benefits and international roaming. Bharti Airtel today launched a unlimited data offering for its fifthgeneration, or 5G, telecom service users, stepping up the battle against Mukesh Ambani-owned Reliance Jio. The telecom operator in an exchange filing said it is removing the capping on data usage across all existing plans. ""All postpaid customers and those prepaid customers with a data plan of Rs. 239 and above will be able to avail of the offer,"" Airtel said.",2223.10009765625
2023-03-20,"Largecap IT, Reliance provide opportunities for very long-term investors: Neeraj Dewan","Reliance had been in the Rs 2,200-2,700 band for quite some time. It has come closer to the lower end of the band and there are definitely positive triggers which will come later – maybe listing of Jio or the retail arm getting demerged into a different company. All those triggers will come eventually. So valuation-wise, after the correction, it looks more attractive.",2201.25
2023-03-21,"Reliance Industries plans hotels, resorts near Statue of Unity in Gujarat","According to the Registrar of Companies, Reliance's new firm will engage in activities including hotels, resorts and service apartments providing short-term lodging facilities, including accommodation in house boats. Reliance Industries plans to develop hotels and resorts near the Statue of Unity, Gujarat through its newly formed company Reliance SOU. According to the Registrar of Companies, Reliance's new firm will engage in activities including hotels, resorts and service apartments providing short-term lodging facilities, including accommodation in house boats",2269.699951171875
2023-03-22,Reliance consumer expands FMCG portfolio; sets up direct competition with HUL & Reckitt,"While HUL leads the soaps and laundry detergent market with its brands like Lux, Lifebuoy and Surf Excel, Reckitt Benckiser is category leader in floor and toilet cleaners with Lizol and Harpic. Procter & Gamble too is a large player in laundry detergents with its Ariel brand. Reliance Consumer Products, the FMCG arm and wholly-owned subsidiary of Reliance Retail Ventures Limited (RRVL) announced the expansion of its packaged goods portfolio including soaps, hygiene, laundry and home care products on Wednesday, setting up direct competition with established players such as Hindustan Unilever (HUL), Reckitt Benckiser and Procter & Gamble (P&G).",2276.60009765625
2023-03-23,"Stocks in news: HAL, Hero MotoCorp, GAIL, Reliance Industries, BHEL","The union government will sell up to 3.5% stake in Hindustan Aeronautics Ltd (HAL) through an offer for sale (OFS). The floor price for the OFS has been fixed at Rs 2,450 per share.",2247.800048828125
2023-03-24,"Time to buy Titan and short Reliance, says Rahul Sharma","Rahul Sharma, Director at JM Financial Services, recommends a long position in Titan, as he sees some technical reversal on its daily charts, and expects a good round of up move. Conversely, Sharma recommends shorting Reliance Industries at its current price as its short-term and long-term moving averages suggest a bearish bias.",2203.300048828125
2023-03-27,Reliance Capital lenders fear recovery below liquidation value,"Lenders of bankrupt Reliance Capital fear their loan recovery could fall below the liquidation value of `12,500-13,000 crore for the financial services company since both bidders, Hinduja Group and Torrent Investments, are reluctant to improve their offers, bankers dealing with the matter said. Lenders of bankrupt Reliance Capital fear their loan recovery could fall below the liquidation value of `12,500-13,000 crore for the financial services company since both bidders, Hinduja Group and TorrentInvestments, are reluctant to improve their offers, bankers dealing with the matter said",2237.550048828125
2023-03-28,"Reliance, Tata Power among cos to get Rs 14,000 crore solar module incentive under PLI scheme","""Manufacturing capacity totalling 7400 MW is expected to become operational by October 2024, 16,800 MW capacity by April 2025 and the balance 15,400 MW capacity by April 2026,"" it said. The Tranche-II is expected to bring in an investment of Rs. 93,041 crore. The Union Government has allocated 39,600 MW of domestic solar PV module manufacturing capacity to 11 companies with an outlay of Rs 14,007 cr under PLI scheme, stated a press release on Tuesday",2248.0
